abcès	ab.ˈsɛ
acide	a.ˈsid
bac	bak
bar	baʁ
baïonnette	ba.jɔ.ˈnɛt
bifteck	bif.ˈtɛk
bleu	blø
bloc	blɔk
cabine	ka.ˈbin
cabine de bain	ka.bin.də.ˈbɛ̃
cabine de bateau	ka.bin.də.ba.ˈto
cabine téléphonique	ka.bin.te.le.fɔ.ˈnik
cap	kap
carbone	kaʁ.ˈbɔn
carton	kaʁ.ˈtõ
champagne	ʃã.ˈpanj
chemise	ʃə.ˈmiz
cirque	siʁk
commande	kɔ.ˈmãd
contact	kõ.ˈtakt
copier	ko.ˈpje
coupe	kup
dessert	dɛ.ˈsɛʁ
docteur	dɔk.ˈtœʁ
docteur médecin	dɔk.tœʁ.me.də.ˈsɛ̃
essence	ɛ.ˈsãs
facture	fak.ˈtyʁ
fermeture à glissière	fɛʁ.mə.ty.ʁa.gli.ˈsjɛʁ
garage	ga.ˈʁaʒ
garde	gaʁd
jambon	ʒã.ˈbõ
litre	litʁ
marque	maʁk
oxygène	ok.si.ˈʒɛn
phase	faz
point de contact	pwɛ̃.də.kõ.ˈtakt
pomme	pɔm
pomme de pin	pɔm.də.ˈpɛ̃
pomme de terre	pɔm.də.ˈtɛʁ
pont	põ
pont aérien	põae.ˈʁi
savon	sa.ˈvõ
taxi	tak.ˈsi
timbre	tɛ̃bʁ
timbre de poste aérienne	tɛ̃bʁ.də.pɔ.stae.ˈʁjɛn
tonneau	to.ˈno
trompette	tʁõ.ˈpɛt
vert	vɛʁ
veste	vɛst
virus	vi.ˈʁys
zéro	ze.ˈʁo
allez	ale
berger	bɛʁʒe
bordeaux	bɔʁdo
boxe	bɔks
brancard	bʁɑ̃kaʁ
bus	bys
cabine	kabin
cantine	kɑ̃tin
compas	kɔ̃pa
confetti	kɔ̃feti
corset	kɔʁsɛ
course	kuʁs
course-poursuite	kuʁspuʁsyit
cresson	kʁəsɔ̃, kʁesɔ̃
fermeture	fɛʁmətyʁ
héberger	ebɛʁʒe
hydrate	idʁat
kilowatt	kilɔwat
marketing	maʁkətiŋ
marxiste	maʁksist
marxiste-léniniste	maʁksistleninist
mayonnaise	majɔnɛz
métrique	metʁik
neurone	nøʁɔn
pont	pɔ̃
réhydrate	ʁeidʁat
short	ʃɔʁt
sonnet	sɔnɛ
sulfurique	sylfyʁik
télécabine	telekabin
tennis	tenis
timbre	tɛ̃bʁ
cabine	kabin
fermeture	fɛʁmətyʁ
marxiste	maʁksist
marxiste-léniniste	maʁksistleninist
pagne	paɲ
pomme	pɔm
pomme de terre	pɔmdətɛʁ
pont	pɔ̃
pont-bascule	pɔ̃baskyl
pont-levis	pɔ̃ləvi
pont-rail	pɔ̃ʁaj
pont-route	pɔ̃ʁut
satin	satɛ̃
télécabine	telekabin
timbre	tɛ̃bʁ
timbre-amende	tɛ̃bʁamɑ̃d
timbre-poste	tɛ̃bʁəpɔst
timbre-quittance	tɛ̃bʁəkitɑ̃s
vide-pomme	vidpɔm
cellucose
fermeture
kappa
lègume
pomade
maillechort
marxiste
satin
telex
thermos
